text,Action,Adult Cast,Adventure,Anthropomorphic,Avant Garde,Award Winning,Boys Love,CGDCT,Childcare,Combat Sports,Comedy,Crossdressing,Delinquents,Detective,Drama,Ecchi,Educational,Fantasy,Gag Humor,Girls Love,Gore,Gourmet,Harem,High Stakes Game,Historical,Horror,Idols (Female),Idols (Male),Isekai,Iyashikei,Josei,Kids,Love Polygon,Love Status Quo,Magical Sex Shift,Mahou Shoujo,Martial Arts,Mecha,Medical,Military,Music,Mystery,Mythology,Organized Crime,Otaku Culture,Parody,Performing Arts,Pets,Psychological,Racing,Reincarnation,Reverse Harem,Romance,Samurai,School,Sci-Fi,Seinen,Shoujo,Shounen,Showbiz,Slice of Life,Space,Sports,Strategy Game,Super Power,Supernatural,Survival,Suspense,Team Sports,Time Travel,Urban Fantasy,Vampire,Video Game,Visual Arts,Workplace
second season of puniru wa kawaii slime.,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"love, heaven's greatest treasure went missing and to get it back, the great god decides to send his two daughters lemon and cherry, as well as their governess berry to find it. however, their search doesn't go so well, mainly because they decide they like it at planet earth and prefer to work in a hamburger shop (sic!). in the one-episode ova, the girls end up searching for the love treasure on an exotic planet, however they find magical living plushies instead, having to fight their way through them to recover ""essence of life,"" which an evil organisation wants to use for nefarious purposes.",0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"long ago, there was a monk named myoue who could bring anything he drew to life. he quietly lived with his wife koto a black rabbit in human form and their three children: yakushimaru, kurama, and yase. one day, the high priest of the land concluded that myoue's drawings caused too many problems for the locals and ordered him to find a solution. in response, the family secretly fled to an alternate world of myoue's own creation the looking glass city. everything was peaceful until myoue and koto suddenly vanished. their three children are left to take care of the city, and yakushimaru inherits myoue's name and duties. stranded in this alternate world, their problems only get worse when a young girl also named koto crashes down from the sky and declares that she is also looking for the older myoue and koto. armed with a giant hammer and two rowdy familiars, koto just might be the key to releasing everyone from the eternal paper city.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"regarding the destruction of the world, the light relation between the world and me.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"the outdoor exploration club has a new member mei, and she's joining them on a club camping trip to karisaka in yamanashi. she and aoi head there by bike, while chiaki and toba-sensei travel by car. rin has plans of her own, and appears to be going solo to saitama...?",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"the monkeys are up to no good again, but this time they're on the ""heroes"" side. performing no good magic shows, cloning themselves with a ninja jutsu and filling ufo catchers with themselves are just a few of the tricks they're pulling, while at the same time trying to adapt themselves to the human lifestyle.",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unaired episodes 13 to 19 of sin: nanatsu no taizai zange-roku included on bd dvd releases.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"set during the heian period, kyo is a beautiful city that is proud of its glory. two beautiful onmyouji meet, and the sad and short-lived beautiful cherry blossom starts to stir after 1000 years.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"high schoolers mio miyamasu and arata kishimo are childhood friends. mio harbors feelings for arata, but she lacks the courage to express them. even when her friend madoka asks if she is in love with arata, mio reluctantly declines and encourages her friend to pursue her own feelings for him instead. later, while mio and arata visit a fortune-teller, the boy notices a strange phenomenon and tries to drag mio out of the shop much to her annoyance. as mio begins to question her relationship with arata, an argument erupts between them. that night, feeling guilty for what had occurred, mio ventures into the rain to apologize to arata and make her feelings clear. however, an accident along the way turns mio's world upside down.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"a giant sea monster known as ""dragonsaurus"" has emerged from out of nowhere, terrorizing the depths of the oceans. great mazinger, grendizer and the getter robo g team join forces to combat the new threat. but their task becomes more complicated when dragonsaurus swallows up boss borot and makes its way toward tokyo.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"when ryu returns to pay homage to his deceased mentor, gouken, he is tormented by disturbing memories of his master's killer. in a quest to become a true martial arts master, ryu sets out to hone his street fighting skills and to deliver himself from the haunting legacy of the dark hadou. but the ultimate test of his new power can only be accomplished through one last fateful confrontation with his arch-nemesis, gouki (akuma).",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"an orb, known only as it, is cast to earth to be observed from afar. capable of changing forms from beings whose reflections it captures, it first becomes a rock and then, due to the rising temperature, moss. it does not move until one snowy day, a wolf at death's door barely crosses by. when it takes the animal's form, it attains awareness of its consciousness and starts to wander with an unclear destination in mind. soon, it comes across the wolf's master a young boy waiting for his tribe to return from a paradise abundant with fish and fruit in the south. although the boy is lonely, he still hopes those whom he holds dear in his memories have not forgotten him and that he will reunite with them one day. the boy wants to explore new surroundings and decides to abandon his home with it to find the paradise using the traces his tribe left behind. however, with a heavily injured body and no sight of his elder comrades, what will become of the boy? fumetsu no anata e illustrates the story of an immortal being experiencing humanity, meeting all types of people in many places throughout time.",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"coming from a renowned magus family, ayaka sajou is much expected to partake in the holy grail war. but ever since her father and sister's demise in the previous battle, she has grown gloomy and unwilling to involve herself in the matters that killed her loved ones. soon, she finds herself in grave danger at the hands of a knight and ends up summoning her own servant named saber. with him by her side, ayaka ultimately becomes an official participant in the war she initially wanted to avoid so much.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"the story focuses on the journey of go prodigy, jiang liuer, who was encouraged by a monk to learn chess skills of various schools to participate in the 20-year national go competition, competing against other sects and japanese players for the title of ""master of chess.""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"global political figures such as the pope, kim jong il, george w. bush and recent japanese prime ministers play riichi mahjong against each other.",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
special tayutama -kiss on my deity- episodes added to dvds and blu-rays.,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
music video for kikuo's vocaloid song aishite aishite aishite.,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
recap featuring fairies with new narration by watashi.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"monkey d. luffy and the straw hats arrive aboard the sunny to the pirates festival, the world's largest celebration created by and for pirates. buena festa, the festival organizer, invites the straw hats and all worst generation crews to partake in the festivities. luring even shichibukai and marines to its shores, it seems that no pirate or sailor can resist the enticing secrets that the event hides behind its glamor. the festival's contest is simple: find one of the treasures gol d. roger left behind. as the competition progresses, the various pirate crews fight each other in a free-for-all battle royale that is, until the sudden appearance of an unexpected pirate drastically changes the game.",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"with his parents abroad, kimihito kurusu lived a quiet, unremarkable life alone until monster girls came crowding in! this alternate reality presents cutting-edge japan, the first country to promote the integration of non-human species into society. after the incompetence of interspecies exchange coordinator agent smith leaves kimihito as the homestay caretaker of a lamia named miia, the newly-minted ""darling"" quickly attracts girls of various breeds, resulting in an ever-growing harem flush with eroticism and attraction. unfortunately for him and the ladies, sexual interactions between species is forbidden by the interspecies exchange act! the only loophole is through an experimental marriage provision. kimihito's life becomes fraught with an abundance of creature-specific caveats and sensitive interspecies law as the passionate, affectionate, and lusty women hound his every move, seeking his romantic and sexual affections. with new species often appearing and events materializing out of thin air, where kimihito and his harem go is anyone's guess!",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
baka miserables follows the every day life of a family that goes into les misérables-style ballads for minor inconveniences or irks.,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"koyomi araragi is studying hard in preparation for his college entrance exams when he begins to notice something very strange: his reflection no longer appears in a mirror, a characteristic of a true vampire. worried about the state of his body, he enlists the help of the human-like doll yotsugi ononoki and her master yozuru kagenui, an immortal oddity specialist. quickly realizing what is wrong with him, kagenui gives araragi two choices: either abstain from using the vampiric abilities he received from shinobu oshino, or lose his humanity forever.",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"the young kimball kinnison is leaving home for a wider education when a galactic patrol ship crashes on his family's land and the dying pilot gives him a mysterious lens. half-sentient, the lens now implanted in his hand becomes the focus of changes in kim's life including his father's death, a space battle, and an encounter with galactic patrol nursing officer chris. impelled by the lens, he discovers a new world of experiences opening before him and he risks his life to save chris and the universe.",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"timid 16-year-old rito yuuki has yet to profess his love to haruna sairenji a classmate and object of his infatuation since junior high. sadly, his situation becomes even more challenging when one night, a mysterious, stark-naked girl crash-lands right on top of a bathing rito. to add to the confusion, rito discovers that the girl, lala satalin deviluke, is the crown princess of an alien empire and has run away from her home. despite her position as the heiress to the most dominant power in the entire galaxy, lala is surprisingly more than willing to marry the decidedly average rito in order to avoid an unwanted political marriage. to love-ru depicts rito's daily struggles with the bizarre chaos that begins upon the arrival of lala. with an evergrowing legion of swooning beauties that continuously foil his attempted confessions to haruna, to love-ru is a romantic comedy full of slapstick humor, sexy girls, and outlandishly lewd moments that defy the laws of physics.",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"with the threat of the holy grail war no longer looming over fuyuki city, its inhabitants can finally enjoy a time of peace. now that all of the masters and servants have adjusted to their new mundane lives, shirou has taken it upon himself to cook for his household and show saber the wonders of modern cuisine. every day, he ventures into the marketplace to see what kind of different meals he can cook up with unique ingredients and a limited budget. however, his legendary skills often attract uninvited guests from all over the city, so there is never a dull moment at dinner with the emiya family. as his guests entertain themselves in the living room, shirou walks through the step-by-step process of creating some of his favorite meals. with delicacies such as his savory new year soba with shrimp tempura, steamy foil-baked salmon, and cheesy bamboo shoot gratin, everything is up for grabs on his menu. itadakimasu!",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
the third season of meng qi shi shen.,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
music video for the song feeling gradation by regloss.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"as hanabi natsuno returns home after six years in tokyo, memories flood into her. as she prepares to start high school, she moves to tachibanakan, the local dormitory for female students. upon her arrival, hanabi stumbles upon a bare naked beauty, and instantly falls head over heels for her. she also reencounters konomi fujiwara, her childhood friend who she barely remembers. hanabi is introduced to the other residents of the dorm and quickly becomes the center of attention. as the girls instantly take to the newcomer and begin shooting for her affection subtly or obtrusively hanabi realizes that it is certainly going to be an interesting school year.",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sequel to days. the final match against touyin gakuin for national high school soccer tournament tokyo preliminary.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
"far in the future, where interstellar travel is considered commonplace, high school student marika katou balances her duties in the space yacht club and her job as a restaurant waitress. following a chance encounter with a peculiar pair of customers, marika meets them again and learns that her absent father has passed away. during his life, he was known as the legendary pirate ""gonzaemon."" he has left behind his infamous ship bentenmaru and its crew exclusively for marika to inherit. with one of the few remaining letters of marque that permit legal piracy, marika must choose whether to stay as a regular student or take up a second life as a high-octane space pirate. as marika ponders her decision, the delicate situation attracts the eyes of various government agencies and the mysterious transfer student chiaki kurihara, all eager to see if the upcoming captain lives up to her father's reputation. if the crew of the bentenmaru want to maintain their status, they will need to set sail into the vast expanse of space and once again become a name to be feared.",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
music video by vj akashic for the song technology shamanism by junxpunx.,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mini anime of kanchigai no atelier meister: eiyuu party no moto zatsuyougakari ga, jitsu wa sentou igai ga sss rank datta to iu yoku aru hanashi.",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
animated music video for the song ashen by my first story.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
for whom does a girl keep rotating? a story of a weird relationship between a child and adults.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"scottish synth-pop group chvrches has shared a vibrant new song and visual featuring the japanese edm group wednesday campanella. ""out my head"" is accompanied by an animated music video by famed anime creatives junichi yamamoto and yoshiki imazu. lauren mayberry, the lead vocalist of chvrches, has said that japan is a special country for the band.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
